序号	提交答卷时间	所用时间	来源	来源详情	来自IP	2、您认为发表著名的“铁幕演说”的人是？	3、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	4、在西方，中世纪的新年是__月__日？（答案例：13月32日）	5、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	6、"内阁"作为国家的最高决策机关和行政权力机关创立于什么朝代？	7、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	8、请问哪个城市被称为"六朝古都"？	9、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	10、"自由女神像”是哪个国家送给美国的礼物?	11、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	12、我国从哪个朝代起，最高统治者称"王"?	13、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	14、请问三国演义中蜀国的五虎大将里被称为常胜将军的是谁?	15、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	16、唐代人可以称"父亲"为?	17、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	18、唐太宗的"太宗"指的是他的?	19、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	20、请问坦克是哪个国家发明的?	21、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	22、我国历史上第一部编年体史书是《______》?（如答案应为《xxx》则填：xxx）	23、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开	24、我国西晋的第一代皇帝名叫?	25、请问您认为其他人对上一题的回答可能是？如有多个答案请用英文逗号隔开
86	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	不知道	不知道	Ming	Ming,Tang,不知道	Nanjing	Nanjing	France	不知道	Xia	Qin,Han	MaChao	GuanYu,ZhangFei,MaChao	不知道	不知道	temple	temple	UK	Germany	Chunqiu	Chunqiu	yan	yi
87	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt,希特勒	Dec25	Jan1,10月31日,10月15日	Ming	Qing	Nanjing	Xi'an	France	还能是啥	Xia	Zhou,Shang	ZhaoYun	ZhangFei,MaChao	不知道	不知道	posthumous	不知道	UK	不知道	ZuoZhuan	ZizhiTongjian	yan	yi
88	N/A	N/A	N/A	N/A	N/A	Churchill	华盛顿,Roosevelt	Jan1	Jan1	Ming	Qing	Nanjing	Luoyang,Xi'an	Australia	UK，France	Shang	Xia,Zhou	ZhaoYun	GuanYu	die	fu	posthumous	temple	Germany	UK,France,俄国	Shiji	不知道	zhao	guang
89	N/A	N/A	N/A	N/A	N/A	Churchill	麦克阿瑟,斯大林	不知道	Jan1	Ming	Song,Qing	Nanjing	Beijing,Xi'an	France	UK,意大利	ChunqiuzhanguoChunqiuzhanguo		ZhaoYun	GuanYu,HuangZhong	不会	不会	temple	posthumous	Germany	France,比利时	Chunqiu	Shiji,ZizhiTongjian	yan	yi,zhao,guang
90	N/A	N/A	N/A	N/A	N/A	Churchill	斯大林,Roosevelt	Dec25	不知道	Ming	Tang,Qing	Nanjing	长安,Luoyang	France	UK,奥地利	Xia	Shang,Zhou,Chunqiuzhanguo	ZhaoYun	HuangZhong	die	die	temple	posthumous	UK	Germany	ZizhiTongjian	ZizhiTongjian	yan	zhao
91	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	1月7日	Dec25	Ming	Qing	Nanjing	不知道	France	UK	Shang	无	ZhaoYun	GuanYu,ZhangFei,MaChao,HuangZhong	fu	fu	爷爷	不知道	UK	France	Chunqiu	ZuoZhuan	王莽	不知道
92	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	Jan1	Jan1	Ming	无	Nanjing	Xi'an	France	无	Xia	Zhou	ZhaoYun	无	die	不知道	temple	posthumous	Germany	France	Shiji	无	zhao	yan
93	N/A	N/A	N/A	N/A	N/A	Churchill	Truman,斯大林,戴高乐	Dec25	1月至日	Ming	Qing	Luoyang	长安,开封	France	UK	Zhou	Xia,Shang	ZhaoYun	GuanYue	die	die	temple	posthumous	UK	France	Shiji	二十四史	yan	zhao
94	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	Jan1	某个月1日	Ming	Tang,Song	Nanjing	Beijing	France	UK	Zhou	Xia	ZhaoYun	GuanYu,ZhangFei	不知道	不知道	曾祖父	曾祖父	UK	Germany	Chunqiu	ZuoZhuan	yan	zhao
95	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt	不知道	不知道	Ming	Ming	Nanjing	Nanjing	France	France	Shang	Xia	ZhaoYun	ZhaoYun	不知道	不知道	temple	temple	UK	Germany	《ZizhiTongjian》	《Shiji》	yan	zhao
96	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Dec25	Jan1	Ming	国外	Xi'an	Xi'an,Luoyang	France	UK	Xia	Xia,Qin	ZhaoYun	GuanYu	先人	zun	temple	temple	不知道	不知道	Chunqiu	Shiji	不知道	不知道
97	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,斯大林	Jan1	不知道	Ming	Ming,Qing	Nanjing	金陵	France	France	不知道	不知道	ZhaoYun	ZhaoYun	zun	不知道	不知道	不知道	不知道	不知道	ZizhiTongjian	ZizhiTongjian	不知道	不知道
98	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	不知道	不知道	Ming	不知道	Nanjing	Xi'an,Beijing	France	不知道	Qin	不知道	不知道	不知道	不知道	不知道	temple	不知道	US	UK	不知道	不知道	不知道	不知道
99	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt,Marshall	Dec24	Dec24	Ming	不知道	Xi'an	不知道	France	不知道	Zhou	不知道	不知道	不知道	不知道	不知道	posthumous	称号,	不资道	不资道	Shiji	不知道	不知道	不知道
100	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Dec25	Dec25	不会	不会	Nanjing	Nanjing	France	大家都知道吧这个	Shang	Qin	不会	不会	fu	die	temple	temple	Germany	Germany	ZizhiTongjian	不确定所以不填	yi	yi
101	N/A	N/A	N/A	N/A	N/A	不知道	不知道	Jan1	Dec25	Ming	Ming	不知道	不知道	France	France	不知道	不知道	不知道	不知道	zun	zun	不知道	不知道	不知道	20%	三国志	Shiji	不知道	不知道
102	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	不知道	不知道	Ming？	0.5	Nanjing	Nanjing	France	80%	ChunqiuzhanguoQin		不知道	30%	不知道	不知道	爷爷	爷爷	Germany	Germany	司马迁的那本什么	60%	不知道	不知道
103	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	Jan1	Jan1	Ming	Ming	Nanjing	Xi'an,Nanjing,Luoyang	France	France	不知道	不知道	ZhaoYun	ZhangFei	die	die	爷	不知道	不知道	不知道	ZuoZhuan	ZuoZhuan	yan	不知道
104	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	Dec25	Dec25	Ming	元,Ming,Qing	Xi'an	Beijing	France	不知道	Zhou	Tang	ZhaoYun	不知道	不知道	不知道	不知道	不知道	Germany	UK	ZuoZhuan	不知道	pi	caopi
105	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt,斯大林,Churchill	不知道	不知道	Ming？	idk	Nanjing	Nanjing,Beijing,Xi'an	France	UK	ChunqiuzhanguoChunqiuzhanguo		ZhaoYun	ZhaoYun	不知道	不知道	不知道	不知道	UK	France,Germany	ZizhiTongjian	Shiji	不知道	不知道
106	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,不知道	Dec25	Jan1	Sui	Sui，Tang	Nanjing	Nanjing,Beijing,不知道	France	UK，Germany，France	不知道	不知道	ZhaoYun	GuanYu，ZhangFei，HuangZhong，MaChao，ZhaoYun	ye2	die	temple	temple,不知道,posthumous,Nianhao	不知道	不知道	《ZizhiTongjian》	《ZizhiTongjian》，《Shiji》	不知道	不知道
107	N/A	N/A	N/A	N/A	N/A	Churchill	斯大林,Roosevelt	Jan1	Dec26	Ming	Ming,不知道	Nanjing	Beijing,Xi'an	不知道	不知道	Xia	Qin	ZhaoYun	不知道,ZhaoYun	不知道	不知道	temple	posthumous	Germany	UK	Shiji	Shiji	yan	曹操,yi
108	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	Jan1	Jan1	Ming	元,Qing	Nanjing	Xi'an	France	UK	Zhou	Xia,Shang	ZhaoYun	ZhangFei,GuanYu	die	ba	temple	posthumous	UK	Germany	ZizhiTongjian	Shiji	yan	zhao,yi
109	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	Jan1	不知道	Ming	Song	Nanjing	Luoyang	France	UK	Zhou	Shang	ZhaoYun	MaChao	die	不知道	temple	posthumous	UK	US	Chunqiu	ZuoZhuan	zhao	yi
110	N/A	N/A	N/A	N/A	N/A	Churchill	斯大林	Jan1	Jan1	Ming	Qing	Xi'an	Luoyang	France	UK	Shang	Qin	MaChao	ZhaoYun	不知道	ba,die	不知道	不知道	Germany	UK,US	ZizhiTongjian	Shiji	汉文帝	汉武帝
111	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,Roosevelt,撒切尔	Dec25	Jan1,12月23日	Ming	Qing	Luoyang	Luoyang,Beijing,开封	France	UK	Qin	清	不知道	不知道	kao	die	temple	父亲,	UK	俄罗斯	不知道	Shiji	不知道	不知道
112	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	不知道	不知道	Ming	Ming	Nanjing	Xi'an	France	France, UK	Shang	Xia,Zhou	不知道	不知道	不知道	不知道	temple	称呼	Germany	SovietUnion,UK	ZizhiTongjian	Chunqiu, Shiji	yan	yi
113	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	不知道	不知道	Ming	Tang，Song	Nanjing	Nanjing	France	Germany，UK	Shang	Shang	ZhaoYun	MaChao	不知道	不知道	posthumous	posthumous	以色列	不知道	Chunqiu	汉书	yan	yan
114	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill,Truman	Jan1	Jan1	Ming	Ming	Nanjing	Nanjing	France	France？	不知道	不知道	ZhaoYun	ZhaoYun	不知道	不知道	temple	temple,posthumous,不知道	不知道	SovietUnion,Germany	Chunqiu	Chunqiu	yan	zhao,yan
115	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	不知道	不知道	Ming	Ming	Nanjing	Nanjing,Beijing	France	France	Han	Han	ZhaoYun	ZhaoYun	不知道	不知道	temple	posthumous	US	US	Chunqiu	ZuoZhuan,Chunqiu	yan	yan
116	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	Jan1	Jan1,Dec25	Ming	Ming,Qing	Nanjing	Xi'an	UK	UK	Shang	Qin	ZhaoYun	GuanYu	不知道	不知道	temple	不知道	不知道	不知道	Chunqiu	ZizhiTongjian,Shiji	不知道	不知道
117	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Jan1	Jan1	Ming	Ming	Luoyang	Luoyang	France	不知道	Xia	Xia	ZhaoYun	ZhaoYun	不知道	不知道	posthumous	posthumous	UK	UK,US	Chunqiu	Shiji	yan	yan
118	N/A	N/A	N/A	N/A	N/A	Churchill	Churchill	Apr1	Jan1	Ming	Ming	Nanjing	Nanjing	France	France	Zhou	Zhou	ZhaoYun	ZhaoYun	不知道	不知道	temple	temple	Germany	Germany	Chunqiu	Chunqiu	不知道	不知道
119	N/A	N/A	N/A	N/A	N/A	Churchill	Truman	不知道	不知道	Ming	0.5	Nanjing	开封,Luoyang,Xi'an	France	60％	Xia	Qin	ZhaoYun	40％	不知道	不知道	temple	帝号,Nianhao	UK	Germany	Chunqiu	40％	yan	zhao
120	N/A	N/A	N/A	N/A	N/A	Churchill	撒切尔	Jan1	13月32日	Ming	Qing	Nanjing	Luoyang	France	UK	Xia	Shang,Qin	ZhaoYun	GuanYu	不知道	不知道	temple	posthumous	France	Germany	Chunqiu	ZuoZhuan,Shiji	yi	yan
121	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	Dec25	不知道	Ming	Qing	Nanjing	上海	UK	France	Tang	宋	ZhaoYun	GuanYu	不知道	不知道	posthumous	名字	Germany	俄罗斯	ZizhiTongjian	Shiji	晋武帝	隋炀帝
122	N/A	N/A	N/A	N/A	N/A	Truman	不知道	Dec25	不知道,Jan1,Dec25	Ming	汉	Xi'an	Beijing	France	毛里求斯	Zhou	Shang,Qin	ZhaoYun	GuanYu	不知道	不知道	posthumous	不知道	Germany	US	ZizhiTongjian	Shiji	不知道	不知道
123	N/A	N/A	N/A	N/A	N/A	Churchill	不知道	Dec25	Jan1	Ming	Qing	Nanjing	Nanjing,Xi'an,Beijing,Luoyang	France	UK	Chunqiuzhanguo不知道		GuanYu	ZhaoYun	不知道	不知道	posthumous	职位	US	Germany,US,UK,日本,意大利,France	ZuoZhuan	不知道	yan	yi
124	N/A	N/A	N/A	N/A	N/A	Churchill	Truman,Marshall	Jan1	7月1日	Ming	Ming，Qing，内阁不是日本的吗，不知道	Nanjing	杭州	不知道	UK	Xia	Shang	ZhaoYun	ZhaoYun，ZhangFei，GuanYu，刘备	不知道	不知道	temple	posthumous	UK	Germany	ZuoZhuan	ZuoZhuan，Shiji，战国策，ZizhiTongjian，尚书，	yan	zhao
125	N/A	N/A	N/A	N/A	N/A	Churchill	Roosevelt	不知道	不知道	Ming	Song,Qing	Nanjing	Xi'an	France	UK	Zhou	Han	ZhaoYun	关于	不知道	不知道	posthumous	不知道	Germany	US	Chunqiu	ZuoZhuan	不知道	不知道
126	N/A	N/A	N/A	N/A	N/A	不知道	不知道	不知道	不知道	Ming	Qing	不知道	不知道	France	UK	不知道	不知道	廉颇	GuanYu	不知道	不知道	不知道	不知道	不知道	不知道	ZuoZhuan	Shiji	不知道	不知道
